Unnamed: 0,UtcTime,ImageLoaded_dll,EventID_rare,Protocol_rare,Initiated_rare,SourceIsIpv6_rare,SourceIp_rare,SourcePort_rare,DestinationIsIpv6_rare,DestinationIp_rare,DestinationPort_rare,FileVersion_rare,Description_rare,Product_rare,Company_rare,OriginalFileName_rare,CommandLine_rare,CurrentDirectory_rare,IntegrityLevel_rare,ParentCommandLine_rare,Signed_rare,Signature_rare,SignatureStatus_rare,ParentImage_process_rare,SourceImage_process_rare,TargetImage_process_rare,TargetObject_processed_rare,TargetFilename_file_rare,TargetFilename_processed_rare,ImageLoaded_processed_rare,EventID_1,EventID_12,EventID_13,EventID_22,EventID_7,Protocol_empty,Initiated_empty,SourceIsIpv6_empty,SourceIp_Not_Valid,SourcePort_No_port,DestinationIsIpv6_empty,DestinationIp_Not_Valid,DestinationPort_No_port,FileVersion_10.0.19041.1151_(winbuild.160101.0800),FileVersion_10.0.19041.3031_(winbuild.160101.0800),FileVersion_10.0.19041.3693_(winbuild.160101.0800),FileVersion_10.0.19041.3758_(winbuild.160101.0800),FileVersion_empty,Description_empty,Description_windows_explorer,Product_empty,Product_microsoft®_windows®_operating_system,Company_empty,Company_microsoft_corporation,OriginalFileName_empty,OriginalFileName_explorer.exe,"CommandLine_""c:\windows\explorer.exe""",CommandLine_c:\windows\explorer.exe,"CommandLine_c:\windows\explorer.exe_/factory,{5bd95610-9434-43c2-886c-57852cc8a120}_-embedding",CommandLine_empty,CurrentDirectory_SYSTEMDIRECTORY,CurrentDirectory_empty,IntegrityLevel_empty,IntegrityLevel_medium,ParentCommandLine_-,ParentCommandLine_c:\windows\system32\runtimebroker.exe_-embedding,ParentCommandLine_c:\windows\system32\svchost.exe_-k_dcomlaunch_-p,ParentCommandLine_c:\windows\system32\userinit.exe,ParentCommandLine_empty,Signed_empty,Signed_true,Signature_empty,Signature_microsoft_windows,SignatureStatus_empty,SignatureStatus_valid,ParentImage_process_-,ParentImage_process_empty,ParentImage_process_runtimebroker.exe,ParentImage_process_svchost.exe,ParentImage_process_userinit.exe,SourceImage_process_empty,TargetImage_process_empty,TargetObject_processed_empty,TargetObject_processed_hku,TargetFilename_file_empty,TargetFilename_processed_empty,ImageLoaded_processed_c:\windows\system32,ImageLoaded_processed_empty,ProcessGuid,EventID_11,FileVersion_10.0.22621.3007_(winbuild.160101.0800),Signature_microsoft_corporation,TargetFilename_file_lnk,TargetFilename_processed_c:\users,ImageLoaded_processed_c:\users
8728,2024-02-01 17:21:50.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-00be-65ba-0101-000000009300},0.0,0.0,0.0,0.0,0.0,0.0
761,2024-01-24 08:14:23.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{03a107b9-c6de-65b0-4241-000000007800},0.0,0.0,0.0,0.0,0.0,0.0
7209,2024-01-28 21:42:01.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-7290-65b6-3c01-000000009200},0.0,0.0,0.0,0.0,0.0,0.0
6685,2024-01-28 15:28:22.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-7290-65b6-3c01-000000009200},0.0,0.0,0.0,0.0,0.0,0.0
8548,2024-02-01 12:41:13.990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-00be-65ba-0101-000000009300},0.0,0.0,0.0,0.0,0.0,0.0
9385,2024-02-03 16:24:10.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-6759-65be-e700-000000009400},0.0,0.0,0.0,0.0,0.0,0.0
6085,2024-01-26 14:41:29.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-c493-65b3-0901-000000009100},0.0,0.0,0.0,0.0,0.0,0.0
1885,2024-01-25 17:36:43.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{03a107b9-10ec-65b2-dc47-000000007800},0.0,0.0,0.0,0.0,0.0,0.0
4921,2024-01-21 22:20:15.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{d8e084b0-b7dc-659e-9101-000000008d00},0.0,0.0,0.0,0.0,0.0,0.0
1121,2024-01-24 08:19:25.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,1,0,1,0,0.0,0,0.0,1,0,1,1,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0.0,1,0.0,0.0,0,1,1,0,1,1,1,0,1,{03a107b9-c6de-65b0-4241-000000007800},0.0,0.0,0.0,0.0,0.0,0.0
