,UtcTime,EventID,ProcessGuid,Protocol,Initiated,SourceIsIpv6,SourceIp,SourcePort,DestinationIsIpv6,DestinationIp,DestinationPort,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,IntegrityLevel,ParentCommandLine,Signed,Signature,SignatureStatus,collector_node_id,Image_process,ParentImage_process,SourceImage_process,TargetImage_process,TargetObject_processed,TargetFilename_file,TargetFilename_processed,ImageLoaded_dll,ImageLoaded_processed
20,2024-01-17 22:54:35.623,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
21,2024-01-17 22:59:42.720,13,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,,,,a0108035,explorer.exe,,,,hku,empty,,0,empty
22,2024-01-17 23:18:04.858,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
23,2024-01-18 22:05:22.222,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
24,2024-01-19 14:14:38.774,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
25,2024-01-19 15:12:34.894,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
26,2024-01-20 08:47:00.884,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
27,2024-01-22 10:57:41.103,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
28,2024-01-22 15:16:37.715,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
29,2024-01-22 15:42:55.076,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
